aid,aidtype,aidname,aiddesc,aidsrcid,aidsrcname,aidextid,aidmdate,cids,sids,geneids,aidcategories,protacxns,depcatg,pmids,rnai,dois,ecs,repacxns,annotation
1218822,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 30 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488507,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218823,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 90 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488508,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218824,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 90 mins followed by 10-fold dilution and substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1488509,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218843,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 30 mins followed by substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491682,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218844,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 30 mins followed by substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491683,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218845,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 90 mins followed by substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491684,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218846,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 90 mins followed by substrate addition by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491685,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218847,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 30 mins followed by substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491686,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218848,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 30 mins followed by substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491687,20200624,"39186,11757854,24957182","103164872,103524061,136940280",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218849,2,Time dependent inhibition of CYP3A4 in human liver microsomes using midazolam as substrate preincubated for 90 mins followed by substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491688,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218850,2,Time dependent inhibition of CYP3A4 in human liver microsomes using testosterone as substrate preincubated for 90 mins followed by substrate addition by LC-MS/MS analysis in presence of NADPH,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1491689,20200624,"39186,24957182","103164872,103524061",1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218855,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of midazolam to 1'-hydroxymidazolam at 0.3 to 75 uM by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1492491,20200624,24957182,103524061,1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218856,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of testosterone to 6beta-hydroxytestosterone at 0.3 to 75 uM by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1492492,20200624,24957182,103524061,1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218857,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of midazolam to 1'-hydroxymidazolam at 0.1 to 30 uM by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1492493,20200624,11757854,136940280,1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1218858,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as conversion of testosterone to 6beta-hydroxytestosterone 0.1 to 30 uM by LC-MS/MS analysis,"Title: Sequential metabolism of AMG 487, a novel CXCR3 antagonist, results in formation of quinone reactive metabolites that covalently modify CYP3A4 Cys239 and cause time-dependent inhibition of the enzyme._|__|_Abstract: CYP3A4-mediated biotransformation of (R)-N-(1-(3-(4-ethoxyphenyl)-4-oxo-3,4-dihydropyrido[2,3-d]pyrimidin-2-yl)ethyl)-N-(pyridin-3-ylmethyl)-2-(4-(trifluoromethoxy)phenyl)acetamide (AMG 487) was previously shown to generate an inhibitory metabolite linked to dose- and time-dependent pharm",43,ChEMBL,1492494,20200624,11757854,136940280,1576,NULL,P08684,Curation Efforts|Research and Development,22517972,0,10.1124/dmd.112.045708,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
1466032,100,Time-dependent inhibition of CYP3A4 in human liver microsomes assessed as reduction in testosterone to 6beta-hydroxytestosterone conversion by measuring remaining activity at 30 uM preincubated for 60 mins followed by testosterone addition measured after ,"Title: Studies of CDK 8/19 inhibitors: Discovery of novel and selective CDK8/19 dual inhibitors and elimination of their CYP3A4 time-dependent inhibition potential._|__|_Abstract: In this article, synthetic studies around a pyridylacrylamide-based hit compound (1), utilizing structure-based drug design guided by CDK8 docking models, is discussed. Modification of the pendant 4-fluorophenyl group to various heteroaromatic rings was conducted aiming an interaction with the proximal amino acids, and then replac",43,ChEMBL,1670929,20200622,"125487466,125487493,126568381,126568395,126568404,126568413,126568428,126568459,126568463,126568509,126568548,126568659,126568661,126568668,126568669,126568746,126568757,126568827,126568856,126584616,126584619,126584623,137660456","381837523,381838982,381840512,381841089,381842428,381842931,381844591,381844658,381844717,381845142,381847395,381854513,381855992,381857527,381858321,381860481,381863696,381865458,381869430,381869613,381869714,381885138,381885408",NULL,NULL,NULL,Curation Efforts|Research and Development,28392276,0,10.1016/j.bmc.2017.03.049,NULL,NULL,NULL
67008,100,Second-order rate constant for time-dependent inactivation of Human Leukocyte Elastase was determined; G means no time-dependent inhibition was observed,"Title: Inhibition of human leukocyte elastase. 2. Inhibition by substituted cephalosporin esters and amides._|__|_Abstract: A variety of 7 alpha-methoxycephalosporin ester and amide sulfones were prepared and tested to determine the structure-activity relations for inhibition of human leukocyte elastase (HLE), a serine protease which has been implicated in several degenerative lung and tissue diseases. The most potent IC50 values were obtained with neutral, lipophilic derivatives, with the esters being more",43,ChEMBL,64168,20181013,"14760233,14760241","103289173,103289631",1991,NULL,P08246,Curation Efforts|Research and Development,2391692,0,10.1021/jm00171a029,3.4.21.37,P08246,NULL
156881,100,The compound was tested for time dependent inhibition against carboxyl protease (pepsin); No inhibition,Title: Synthesis of analogues of the carboxyl protease inhibitor pepstatin. Effect of structure in subsite P3 on inhibition of pepsin._|__|_Abstract: A series of pepstatin analogues having minimum structural requirements for tight-binding inhibition has been synthesized and tested on porcine pepsin. Subtle changes in the geometry and size of side chains at the valine-1 position of pepstatin were found to dramatically affect inhibitor potency as well a the type of kinetic behavior observed. The inhibitors re,43,ChEMBL,154135,20181002,"44378915,44379091,44379147","103421047,103421449,103421609",396892,NULL,P00791,Curation Efforts|Research and Development,6809942,0,10.1021/jm00349a005,3.4.23.1,P00791,NULL
156882,100,The compound was tested for time dependent inhibition against carboxyl protease (pepsin); Yes,Title: Synthesis of analogues of the carboxyl protease inhibitor pepstatin. Effect of structure in subsite P3 on inhibition of pepsin._|__|_Abstract: A series of pepstatin analogues having minimum structural requirements for tight-binding inhibition has been synthesized and tested on porcine pepsin. Subtle changes in the geometry and size of side chains at the valine-1 position of pepstatin were found to dramatically affect inhibitor potency as well a the type of kinetic behavior observed. The inhibitors re,43,ChEMBL,154136,20181002,"44278232,44378838,44378872,44378925,44378990,44379004,44379064","103200874,103420877,103420936,103421071,103421199,103421229,103421384",396892,NULL,P00791,Curation Efforts|Research and Development,6809942,0,10.1021/jm00349a005,3.4.23.1,P00791,NULL
1295358,100,Time dependent inhibition of CYP3A4 in human liver microsomes assessed as coversion of 6beta-hydroxytestosterone to testosterone by measuring remaining activity at 30 uM by UPLC analysis in presence of NADPH generating system,"Title: Amine-free melanin-concentrating hormone receptor 1 antagonists: Novel 1-(1H-benzimidazol-6-yl)pyridin-2(1H)-one derivatives and design to avoid CYP3A4 time-dependent inhibition._|__|_Abstract: Melanin-concentrating hormone (MCH) is an attractive target for antiobesity agents, and numerous drug discovery programs are dedicated to finding small-molecule MCH receptor 1 (MCHR1) antagonists. We recently reported novel pyridine-2(1H)-ones as aliphatic amine-free MCHR1 antagonists that structurally feature",43,ChEMBL,1572138,20180905,"89690957,89691019,89691044,89691065,89691096,89691162,89702226,89702566","336870831,336870832,336870833,336871261,336871262,336871263,336871264,336871688",1576,NULL,P08684,Curation Efforts|Research and Development,27112449,0,10.1016/j.bmc.2016.04.011,"1.14.14.1,1.14.14.55,1.14.14.56,1.14.14.73",P08684,NULL
